   814   5 0 1  0.0437982359 -1.4350794790   12.81   -21.65   -20.34   0.17   0.15   0.19   0.20   0.16 127 -0.91  0    0.0    0  5.4530 0.0006 0.006 0  1.049 0.002  0.980   1.03   0.04   1.01   0.85   0.07   1.02  -0.84  -0.48  -0.81   1.00  -0.54   0.43   0.60  -0.53   1.00
   841   5 0 1  0.0450325474  0.8041128323    2.65     5.49     0.28   0.17   0.14   0.28   0.19   0.15 184  2.94  1    0.0    0  5.1174 0.0003 0.004 0  0.405 0.014  0.550   1.11   0.49   1.07  -0.57  -0.90   1.01   2.31  -1.56   0.86   1.00  -1.65  -1.82   0.11   0.46   1.00
   950   5 0 1  0.0511881892 -0.6131934379   47.00   169.83   114.56   0.19   0.17   0.27   0.25   0.21 155  0.50  0    0.0    0  5.3425 0.0005 0.005 0  0.459 0.002  0.530   1.17  -2.43   1.05   0.18   0.20   1.03   2.14  -0.21   1.00   1.04  -1.02   1.61   0.11  -1.37   1.00
  1086   5 0 1  0.0589728807  0.7162085428   28.65  -123.20  -146.41   0.22   0.20   0.35   0.29   0.23 175  1.08  0    0.0    0  5.7891 0.0006 0.008 0  0.331 0.004  0.390   1.01  -0.35   1.50  -0.37  -0.84   1.00  -0.33   0.06   0.29   1.00   0.12  -4.89   0.04  -0.29   1.00
  1158   5 0 1  0.0630930868 -0.1357960054    5.60    62.62     4.37   0.27   0.17   0.30   0.31   0.18  90  0.90  1    0.0    0  5.1798 0.0029 0.020 2  1.601 0.007  2.240   1.13  -1.79   1.08  -1.25  -0.12   1.01   1.14  -0.01  -0.54   1.05  -0.48   2.47  -0.16  -1.88   1.00
  1168   5 0 1  0.0637123786  0.3526733959    8.86    90.76     1.24   0.17   0.13   0.22   0.22   0.16 121 -1.69  0    0.0    0  4.8756 0.0016 0.013 2  1.572 0.004  1.930   1.04  -2.04   1.00  -0.09   0.02   1.00  -0.06   0.22   0.36   1.10   0.31  -0.59  -0.22  -2.55   1.00
  1191   5 0 1  0.0650499709 -0.1670201683    9.63    23.85    -7.73   0.35   0.20   0.39   0.48   0.20  82  1.54  0    0.0    0  5.7506 0.0013 0.010 0 -0.084 0.005 -0.060   1.03  -0.95   1.06  -0.17  -0.46   1.11  -0.33   0.06  -1.03   1.02   0.20   1.94  -0.61  -1.05   1.00
  1288   5 0 1  0.0704520810 -0.5488419658    6.57   118.49   -26.92   0.31   0.19   0.35   0.31   0.20  92  0.88  0    0.0    0  5.8110 0.0010 0.007 0  1.350 0.001  1.330   1.10   0.22   1.03  -0.79  -0.40   1.02   1.44  -0.06  -0.72   1.01   0.00   1.14  -0.09   0.76   1.00
  1372   5 0 1  0.0748339166  0.8368402598    2.91     3.80    -3.75   0.21   0.15   0.28   0.23   0.18 194  0.73  0    0.0    0  5.8390 0.0004 0.005 0 -0.079 0.003 -0.060   1.06   2.08   1.16  -0.64  -0.69   1.00   0.68  -0.92  -0.31   1.04  -1.09  -3.25  -0.39   1.60   1.00
  1473   5 0 1  0.0799728252  0.6420250772   24.20   -65.67   -42.00   0.17   0.11   0.21   0.18   0.13 108  0.32  0    0.0    0  4.5377 0.0004 0.004 0  0.054 0.002  0.060   1.03  -1.01   1.02  -0.28  -0.75   1.01  -1.07   0.88   0.20   1.02   1.45  -0.14  -1.37  -1.69   1.00
  1475   5 0 1  0.0800336562  0.7683280747  278.76  2888.92   410.10   0.52   0.40   0.77   0.60   0.48 145 -1.53  0    0.0    0  8.1451 0.0013 0.018 0  1.560 0.040  2.480   1.07   0.04   1.03   0.09  -0.07   1.01   0.53  -0.22   0.19   1.00  -0.26  -0.31   0.09  -0.14   1.00
  1493   5 0 1  0.0813190882  0.5500795044    6.00    57.77    -2.74   0.25   0.14   0.30   0.28   0.16 157  0.45  0    0.0    0  5.8849 0.0004 0.004 0 -0.014 0.001  0.010   1.03  -1.46   1.11  -0.16  -0.46   1.01  -0.31   0.59   0.39   1.00   1.27  -2.97  -0.06  -0.65   1.00
